-1:98:0:132
0:VAR0:undefined
49:10GP:N10 metre wind gust extent []
165:10SP:N10 metre speed extent []
167:2TP:N2 metre temperature extent []
228:TTP:Total precipitation extent []
255:VAR255:undefined
